parcel_number,address,description,url
14-08-24-5104-1110-0260,312 SUGE LN FLORAHOME 32140,"LAKESIDE HILLS SEC 4 MB4 P131, BLK 111 LOT 26",https://apps.putnam-fl.com/pa/property/?type=api&parcel=14-08-24-5104-1110-0260
17-10-24-1520-0050-0450,None,"COLLEGE PARK ESTATES MB4 P40, BLK E LOT 45",https://apps.putnam-fl.com/pa/property/?type=api&parcel=17-10-24-1520-0050-0450
17-10-24-1520-0050-0460,None,"COLLEGE PARK ESTATES MB4 P40, BLK E LOT 46",https://apps.putnam-fl.com/pa/property/?type=api&parcel=17-10-24-1520-0050-0460
17-12-27-4942-0000-3050,None,"PT OF SEC 17 OR382 P1124, (LOT 305 LAKE MARGARET EST, UNIT 1 UNRECORDED)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=17-12-27-4942-0000-3050
18-08-25-5106-6090-0030,112 KEYSTONE DR FLORAHOME 32140,"LAKESIDE HILLS SEC 6 MB4 P143, BLK 609 LOT 3",https://apps.putnam-fl.com/pa/property/?type=api&parcel=18-08-25-5106-6090-0030
18-08-25-5106-6080-0090,115 KEYSTONE DR FLORAHOME 32140,"LAKESIDE HILLS SEC 6 MB4 P143, BLK 608 LOT 9",https://apps.putnam-fl.com/pa/property/?type=api&parcel=18-08-25-5106-6080-0090
18-08-25-5106-6080-0020,310 LUCKY DR FLORAHOME 32140,"LAKESIDE HILLS SEC 6 MB4 P143, BLK 608 LOT 2",https://apps.putnam-fl.com/pa/property/?type=api&parcel=18-08-25-5106-6080-0020
18-08-25-5106-6060-0080,109 MONEY DR FLORAHOME 32140,"LAKESIDE HILLS SEC 6 MB4 P143, BLK 606 LOT 8",https://apps.putnam-fl.com/pa/property/?type=api&parcel=18-08-25-5106-6060-0080
19-10-24-4074-0390-0300,226 NOVA SCOTIA ST INTERLACHEN 32148,"INTERLACHEN LAKES ESTATES, UNIT 15 MB4 9186 BLK 39 LOTS, 30 + 31",https://apps.putnam-fl.com/pa/property/?type=api&parcel=19-10-24-4074-0390-0300
22-10-24-7950-0100-0011,None,"ROCK PARK S/D MB2 P50, BLK J LOTS 1 2 3, THE E 40, FT OF LOTS 4 + 19 + ALL OF, LOTS 20 21 22 + PT OF CLOSED, CEDAR AVE (PARCEL 11)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=22-10-24-7950-0100-0011
23-08-24-5100-0240-0170,102 DIXIE ST FLORAHOME 32140,"LAKESIDE HILLS SEC 1 REPLAT 1, MB4 P121 BLK 24 LOT 17",https://apps.putnam-fl.com/pa/property/?type=api&parcel=23-08-24-5100-0240-0170
24-09-24-4075-0270-0100,None,"INTERLACHEN LAKES ESTATES, UNIT 16 MB5 P4 BLK 27 LOTS 10, 11",https://apps.putnam-fl.com/pa/property/?type=api&parcel=24-09-24-4075-0270-0100
24-09-24-4075-0310-0120,None,"INTERLACHEN LAKES ESTATES, UNIT 16 MB5 P4 BLK 31 LOTS 12, + 13",https://apps.putnam-fl.com/pa/property/?type=api&parcel=24-09-24-4075-0310-0120
28-09-24-4078-0020-0190,None,"INTERLACHEN LAKES ESTATES, UNIT 19 MB5 P20 BLK 2 LOTS 19, 20 21",https://apps.putnam-fl.com/pa/property/?type=api&parcel=28-09-24-4078-0020-0190
35-08-27-8150-0050-0990,None,"ST JOHNS HARBOR S/D UNIT 1, MB4 P59 BLK 5 LOT 99",https://apps.putnam-fl.com/pa/property/?type=api&parcel=35-08-27-8150-0050-0990
34-12-27-5620-0050-0230,None,"MCKASEL LAKE HEIGHTS MB5 P5, BLK 5 LOT 23",https://apps.putnam-fl.com/pa/property/?type=api&parcel=34-12-27-5620-0050-0230
35-09-24-4075-1670-0070,None,"INTERLACHEN LAKES ESTATES, FREDERICK TOWN UNIT 16 MB5 P4, BLK 167 LOT 7",https://apps.putnam-fl.com/pa/property/?type=api&parcel=35-09-24-4075-1670-0070
